Sex,Age,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
F,15,6,68,No,9,6,560
M,14,1,89,Yes,8,5,630
F,14,1,68,No,4,1,380
M,17,3,49,No,8,7,290
F,14,8,71,No,5,7,670
F,14,8,62,Yes,9,4,570
M,19,4,78,Yes,9,2,630
F,14,6,48,No,6,7,380
M,15,8,76,Yes,5,4,680
F,18,7,91,No,9,2,820
F,16,7,79,No,5,8,700
F,16,4,53,No,5,8,320
F,19,9,43,Yes,4,6,430
F,18,6,59,No,9,7,490
M,16,3,67,Yes,7,4,490
M,15,5,53,No,4,4,360
F,18,5,83,Yes,4,4,690
M,15,5,73,No,5,1,570
M,17,8,52,Yes,7,2,470
M,17,9,70,No,4,7,690
F,15,9,72,Yes,7,5,650
M,19,6,91,Yes,9,8,840
M,14,6,78,Yes,5,6,660
F,18,9,67,No,4,5,600
M,17,4,64,No,7,3,440
F,19,6,71,No,8,6,610
M,18,4,48,Yes,4,3,300
M,16,1,67,Yes,4,6,390
F,18,7,97,No,4,4,850
M,19,6,70,No,7,1,580
M,19,9,56,Yes,6,6,530
M,16,7,92,No,9,7,860
M,15,7,62,Yes,4,9,550
F,14,2,52,Yes,8,1,320
F,19,9,94,Yes,8,5,940
M,19,9,49,No,5,3,410
M,19,6,55,Yes,6,4,430
M,17,3,45,No,6,0,250
F,18,1,87,Yes,7,5,640
M,18,4,50,No,5,7,370
F,19,3,97,No,7,1,790
M,17,1,91,Yes,5,0,620
F,18,3,42,Yes,9,8,210
F,18,4,67,Yes,6,1,490
M,19,8,80,Yes,9,7,770
M,17,9,54,No,7,4,500
F,15,3,99,No,5,1,790
F,14,6,52,No,6,4,350
F,17,5,81,No,6,8,660
F,19,6,91,No,4,5,740
M,15,4,95,Yes,7,2,770
M,14,6,84,Yes,4,7,720
M,15,7,56,No,6,0,480
F,18,9,46,Yes,7,8,420
F,14,7,67,Yes,7,8,590
M,17,6,77,Yes,9,3,660
M,14,1,52,Yes,8,7,270
F,14,2,99,Yes,5,2,750
M,14,1,56,Yes,8,5,310
F,15,9,54,No,8,9,510
M,19,9,75,Yes,6,9,740
F,15,7,67,Yes,9,7,630
M,18,2,54,No,5,8,310
M,19,6,85,No,8,7,790
F,14,4,92,No,8,8,770
F,15,1,50,Yes,7,3,260
M,16,1,95,No,6,9,690
F,14,5,70,Yes,8,0,560
F,16,2,43,No,5,6,180
M,16,4,74,Yes,4,9,550
M,14,1,73,Yes,4,3,450
M,16,4,91,No,6,0,740
F,19,6,66,Yes,4,2,560
F,19,4,49,Yes,7,6,340
M,15,1,69,Yes,7,2,440
F,16,7,84,Yes,5,0,730
F,14,2,59,No,9,6,380
M,14,9,68,No,6,7,640
M,19,3,97,No,6,4,750
M,17,8,92,Yes,4,5,840
F,17,8,68,No,8,2,620
F,19,3,62,No,8,4,410
M,15,4,96,Yes,9,2,810
M,14,2,89,No,8,1,660
M,18,4,60,No,9,6,450
F,14,9,87,No,5,9,840
M,14,2,82,Yes,6,6,600
F,17,3,49,No,4,7,260
F,18,4,80,No,5,0,640
F,14,5,51,No,7,1,320
F,17,1,69,Yes,7,1,480
F,17,7,90,Yes,7,2,830
M,14,7,72,No,9,6,620
M,17,9,57,No,9,6,550
F,14,4,53,No,6,6,360
M,14,6,61,Yes,7,0,520
M,19,2,60,Yes,9,1,350
F,15,4,40,No,9,7,210
F,18,2,88,No,8,8,670
F,18,5,82,Yes,9,9,710
F,18,7,91,Yes,7,6,870
M,18,1,99,No,5,0,700
F,14,7,54,Yes,7,3,430
M,17,6,75,No,8,9,690
M,19,6,86,No,7,7,750
M,14,8,93,Yes,4,4,850
F,16,8,61,No,8,0,560
F,14,6,71,No,6,6,550
M,17,3,97,No,7,5,780
F,17,5,85,No,9,8,710
M,14,2,93,No,5,3,680
M,15,5,72,No,7,3,600
M,16,9,97,No,5,7,950
M,18,1,80,Yes,4,3,510
F,15,5,98,Yes,6,2,840
M,14,6,78,No,9,6,680
F,16,7,62,Yes,8,4,540
M,14,9,82,No,8,8,790
F,17,6,94,No,6,4,830
F,15,5,41,Yes,4,8,280
F,16,7,41,No,4,5,310
F,17,1,77,No,7,5,500
M,19,5,94,Yes,4,5,790
M,19,2,90,Yes,7,6,640
F,15,4,68,Yes,5,3,530
F,17,7,91,Yes,6,3,810
M,14,5,85,Yes,5,8,700
M,17,6,99,Yes,5,6,850
F,17,2,42,No,5,9,200
M,14,3,78,Yes,5,5,600
M,19,7,46,Yes,8,0,360
F,19,2,75,No,4,6,490
F,15,6,68,No,6,5,560
M,16,5,94,Yes,6,3,790
M,14,1,76,No,9,7,530
F,18,4,88,No,5,6,700
F,18,2,97,No,6,7,740
M,19,4,75,No,7,8,600
M,15,1,62,No,6,0,320
M,19,2,84,No,5,2,590
M,15,8,55,No,6,1,480
M,15,6,87,Yes,4,2,740
F,16,2,70,No,5,1,460
M,19,6,73,Yes,8,5,630
M,15,9,89,No,4,8,870
M,15,7,40,No,6,1,290
F,14,9,57,Yes,8,3,510
F,16,5,97,No,9,4,810
F,16,7,79,No,4,4,700
F,19,7,82,Yes,9,0,750
M,19,3,95,No,7,5,750
F,15,7,95,No,4,4,850
M,15,1,54,Yes,8,5,280
M,17,9,87,Yes,9,3,840
F,18,6,88,No,7,5,760
F,18,5,56,Yes,9,8,430
M,18,7,83,No,6,0,730
F,15,5,49,No,5,5,330
F,16,5,59,Yes,9,0,450
M,15,7,45,Yes,6,6,380
F,14,7,47,Yes,5,3,390
M,16,3,84,Yes,5,5,670
F,19,3,73,No,8,6,530
F,17,3,71,Yes,7,4,500
F,18,6,90,Yes,7,8,800
F,14,6,93,No,4,7,800
M,16,3,81,No,6,2,600
F,19,3,43,No,8,0,230
F,14,8,83,No,9,9,800
M,14,8,89,No,6,7,830
F,17,7,78,No,9,3,720
M,17,4,59,No,9,6,460
F,19,4,63,No,9,3,450
M,15,3,63,No,4,6,420
F,17,5,94,Yes,4,0,780
M,18,3,65,Yes,8,0,430
M,14,8,64,No,4,1,550
M,14,7,75,Yes,8,4,670
M,14,3,46,No,4,9,280
M,15,9,49,No,7,5,480
M,16,5,97,No,8,1,810
M,14,9,86,No,7,0,840
M,16,7,51,Yes,7,8,410
M,17,7,40,Yes,8,6,310
F,15,6,91,No,6,7,830
F,16,2,89,Yes,5,5,700
F,16,9,64,Yes,4,8,570
F,18,6,55,No,9,7,450
M,14,8,44,No,4,3,370
M,17,1,58,Yes,9,4,330
M,16,5,43,Yes,6,1,280
M,19,1,45,No,5,0,160
F,14,8,65,No,6,5,600
M,16,8,88,Yes,5,2,810
F,17,1,78,No,8,3,540
F,19,9,95,No,8,0,940
F,19,2,94,No,9,5,740
M,17,9,78,Yes,7,7,760
F,15,1,48,Yes,7,9,190
M,15,9,84,No,9,3,830
F,14,4,91,Yes,8,9,730
M,17,9,53,No,9,7,520
M,15,7,87,Yes,7,9,810
F,14,6,94,Yes,9,2,840
F,15,5,48,Yes,8,6,350
F,16,9,54,No,6,2,530
M,17,2,76,No,4,5,550
F,17,2,89,No,8,3,660
M,18,9,92,Yes,9,5,870
M,15,3,59,No,8,6,430
F,19,8,47,No,8,7,390
F,17,9,71,No,7,5,680
F,16,8,86,No,9,3,810
M,16,4,60,Yes,7,8,450
M,16,1,96,No,9,6,750
F,14,4,80,No,7,8,640
M,15,9,58,Yes,7,2,540
M,16,2,68,No,6,4,450
M,19,3,97,Yes,8,0,750
M,19,8,70,Yes,6,7,640
F,18,6,93,Yes,7,0,810
F,18,8,45,No,6,0,390
F,14,7,43,Yes,8,6,380
M,14,5,82,Yes,8,7,720
M,15,9,68,Yes,7,2,670
F,15,4,81,No,8,1,660
M,14,6,42,Yes,6,6,320
M,17,2,40,Yes,5,9,170
F,15,2,83,Yes,8,4,590
F,18,2,94,No,6,0,700
F,16,7,54,Yes,6,1,410
F,14,2,86,Yes,6,2,620
F,14,2,60,No,8,5,380
M,15,9,85,No,5,0,810
M,17,7,97,No,7,7,880
F,19,3,70,Yes,7,1,460
F,16,3,46,Yes,8,4,250
M,19,7,56,Yes,8,7,480
F,19,5,95,Yes,4,4,810
F,17,6,58,No,9,7,490
F,16,8,78,Yes,5,5,720
F,14,9,99,No,6,6,960
M,16,1,42,Yes,9,7,170
M,17,3,69,Yes,6,2,480
M,15,7,74,Yes,9,4,690
M,15,6,97,No,7,9,850
M,16,7,96,No,9,6,850
M,14,8,68,No,8,8,640
M,15,6,89,No,5,5,790
F,19,3,91,Yes,7,9,740
M,15,2,93,Yes,9,0,690
M,16,7,53,Yes,5,7,440
F,19,1,74,Yes,8,5,500
M,16,3,67,Yes,6,0,480
F,16,4,97,No,4,3,770
F,16,1,69,No,5,5,460
M,19,5,65,Yes,6,9,510
M,16,3,46,Yes,5,0,230
M,19,2,78,Yes,5,9,560
M,15,3,70,Yes,5,4,470
M,16,8,44,No,8,2,420
M,16,6,74,Yes,7,6,640
F,17,7,89,Yes,5,7,800
M,17,6,86,Yes,8,2,730
M,19,6,91,Yes,4,9,800
M,14,3,53,No,7,2,340
F,19,8,75,Yes,8,2,690
M,19,7,66,No,4,5,540
M,14,7,63,No,7,5,560
M,15,6,79,Yes,8,2,660
M,14,5,68,Yes,4,5,530
F,18,8,92,Yes,8,8,890
M,17,5,84,Yes,4,7,700
M,17,9,61,Yes,5,6,590
F,17,9,47,No,5,6,410
M,14,1,54,No,7,7,280
M,15,6,88,No,4,6,750
F,19,7,44,No,5,2,340
F,14,3,91,No,7,7,680
M,19,7,43,Yes,6,7,320
F,18,7,50,Yes,5,0,440
M,17,2,57,No,5,9,350
M,18,7,81,Yes,9,4,740
F,17,1,88,Yes,8,4,640
F,16,5,69,No,6,0,570
M,18,9,54,No,4,5,460
M,16,7,45,No,7,5,360
M,19,7,94,Yes,6,3,850
M,14,2,92,No,4,5,710
F,18,8,55,No,5,5,490
F,17,3,86,Yes,9,0,710
M,17,8,79,Yes,7,4,760
F,18,3,48,No,7,1,260
M,18,7,82,Yes,6,6,740
F,19,2,98,No,8,8,780
F,19,4,73,Yes,4,8,590
F,16,6,66,No,9,8,550
F,15,9,52,Yes,9,6,510
F,16,5,75,Yes,6,6,570
F,15,9,66,Yes,8,0,630
F,15,5,48,No,8,5,370
M,17,8,44,No,8,4,410
F,15,1,90,No,7,7,670
F,14,7,61,Yes,4,7,560
F,15,4,70,Yes,4,3,510
F,16,5,42,Yes,6,0,260
F,16,6,69,No,5,5,560
M,14,5,60,Yes,6,9,480
F,14,1,74,No,4,0,520
M,14,9,45,No,7,4,420
M,14,2,67,No,6,4,410
F,15,9,71,No,5,2,640
M,18,2,81,No,9,4,570
M,16,9,76,Yes,6,5,720
M,15,6,64,Yes,8,4,520
F,19,9,71,Yes,5,0,670
F,14,6,74,Yes,8,6,610
M,14,6,61,Yes,7,2,510
F,18,2,63,Yes,4,6,420
M,16,8,78,No,6,4,710
M,18,3,93,Yes,6,2,740
M,14,7,69,No,8,5,620
F,15,5,89,No,8,0,760
F,18,3,71,No,4,5,500
M,18,1,70,No,6,3,420
M,14,8,62,No,4,3,550
F,14,3,79,Yes,8,4,600
F,17,2,72,Yes,9,8,520
F,19,1,64,Yes,8,0,360
M,18,4,75,No,5,2,530
M,14,8,63,Yes,8,3,540
M,18,3,70,Yes,8,1,470
M,19,1,97,No,9,8,700
M,14,4,78,No,4,6,620
M,18,9,85,Yes,5,0,820
F,18,1,52,No,5,8,260
F,16,2,49,No,6,5,250
M,16,9,62,No,9,1,550
M,18,2,57,Yes,7,0,340
F,17,3,71,No,6,5,510
M,19,7,72,No,6,6,630
F,15,3,75,No,6,9,540
M,15,9,67,No,5,5,620
M,18,6,55,No,4,6,430
M,19,3,55,Yes,8,5,340
F,14,9,57,Yes,5,7,560
M,17,1,47,No,8,1,240
F,16,3,81,No,8,8,650
F,17,1,55,Yes,7,8,310
F,14,2,94,Yes,6,8,720
F,19,8,95,No,7,6,900
M,15,7,50,No,6,8,430
M,17,2,45,Yes,5,0,230
M,18,2,40,No,8,2,180
F,17,9,51,No,7,1,440
F,15,6,96,Yes,9,0,840
M,19,5,77,Yes,5,4,620
M,18,6,67,Yes,5,0,560
F,15,9,84,Yes,9,2,870
F,17,7,97,No,6,5,890
M,18,9,56,No,8,5,550
M,17,4,40,No,6,2,180
M,19,2,71,No,6,3,460
M,14,8,47,Yes,5,6,420
M,18,4,93,Yes,6,5,720
M,16,9,79,No,4,1,750
F,15,4,95,No,9,8,790
M,18,8,82,No,9,5,780
M,16,9,85,Yes,8,1,810
M,14,9,63,Yes,9,6,630
F,18,4,49,Yes,6,9,350
M,14,1,86,No,6,9,630
F,16,3,78,No,7,3,590
F,14,9,78,No,8,0,760
M,18,4,49,Yes,8,9,330
F,19,5,75,No,9,8,620
F,14,7,64,Yes,6,9,580
M,14,5,99,No,4,7,820
M,15,4,89,No,7,4,730
M,16,2,98,Yes,4,2,750
F,16,2,96,Yes,6,3,710
F,18,4,49,No,8,2,300
M,17,9,58,Yes,8,9,580
F,17,8,85,Yes,4,7,800
F,18,3,84,Yes,5,4,650
F,15,9,54,Yes,6,7,510
F,16,5,55,Yes,8,0,440
M,15,3,41,No,9,8,230
M,15,5,68,No,5,9,560
F,19,4,43,No,8,2,250
F,16,8,92,No,9,0,890
M,16,5,89,Yes,8,2,750
F,19,8,68,No,5,1,600
F,15,9,70,Yes,4,6,640
F,14,4,56,No,6,9,400
M,15,7,49,No,5,3,370
M,15,2,66,Yes,5,6,420
F,15,6,92,No,8,2,780
M,18,8,80,No,9,5,720
M,16,7,54,No,5,6,440
M,16,7,99,No,6,6,890
F,15,8,83,No,4,4,770
F,18,7,70,No,9,5,620
F,16,5,60,No,4,2,460
M,14,7,99,Yes,4,3,940
F,17,3,98,No,6,5,800
M,19,5,97,No,8,2,830
F,15,7,80,No,9,6,740
M,17,9,85,No,9,2,850
M,14,2,84,No,6,8,610
M,19,4,99,No,9,3,850
F,17,7,65,Yes,5,1,580
F,15,1,77,No,7,5,520
M,18,2,90,No,7,8,690
M,18,9,75,Yes,7,9,780
F,18,7,91,Yes,4,9,820
F,19,7,56,No,9,1,470
M,15,6,90,No,6,3,790
M,17,3,42,No,9,4,210
F,16,3,53,Yes,6,8,330
M,18,2,88,Yes,9,6,650
F,14,6,52,No,4,4,350
F,14,4,80,No,5,5,630
F,17,5,66,Yes,7,8,500
M,15,3,40,Yes,7,3,180
F,17,6,96,Yes,9,1,880
F,15,3,56,Yes,4,4,350
M,17,8,87,No,7,6,820
M,18,9,89,Yes,9,3,870
F,17,4,73,Yes,8,0,590
F,18,9,53,No,9,7,560
F,14,7,93,Yes,6,4,860
M,14,3,94,No,7,9,700
M,16,7,98,Yes,7,1,900
M,18,1,56,No,8,2,280
M,17,3,42,Yes,5,9,210
M,16,6,73,No,9,9,640
M,17,4,79,No,5,4,610
F,15,7,64,Yes,9,3,540
F,16,3,41,No,8,8,200
M,16,1,73,No,5,8,490
F,16,9,65,Yes,4,7,650
F,15,6,70,No,8,1,610
M,15,8,48,No,9,4,400
M,16,3,69,Yes,6,7,490
M,18,8,59,Yes,6,7,520
F,16,2,60,No,6,6,380
F,16,4,68,No,9,3,510
M,17,3,98,No,7,2,760
M,16,1,64,No,8,7,420
M,15,7,77,No,8,7,680
M,19,2,97,Yes,5,9,770
M,15,4,83,No,8,4,650
M,17,9,64,Yes,8,2,630
M,19,6,48,Yes,5,4,350
M,19,8,78,Yes,8,3,710
M,16,2,83,Yes,8,7,640
F,14,7,65,No,4,1,530
M,17,6,96,No,9,7,870
F,17,9,76,No,5,9,710
M,17,7,55,Yes,4,5,430
F,14,1,76,Yes,7,3,540
F,14,8,51,No,5,2,440
F,19,3,63,Yes,9,9,450
F,15,2,65,No,8,4,420
M,15,3,59,Yes,8,5,380
M,18,6,48,Yes,4,0,360
F,15,3,62,Yes,4,0,430
F,16,5,78,Yes,7,9,670
M,14,6,68,Yes,7,2,580
M,19,8,70,Yes,9,1,640
M,18,7,58,Yes,8,0,510
F,17,8,59,No,6,7,570
M,14,3,62,No,7,0,400
M,14,4,82,Yes,8,9,680
F,14,6,66,Yes,7,7,580
F,17,7,69,No,5,4,630
M,15,9,60,Yes,4,3,560
M,17,1,83,No,8,7,600
F,18,8,74,No,7,7,680
F,15,8,88,No,4,7,820
M,16,6,46,No,6,2,330
M,19,4,61,No,7,7,470
F,15,3,49,Yes,8,0,320
M,16,3,62,Yes,5,3,390
M,15,6,54,No,4,4,410
F,18,8,69,Yes,4,5,610
F,19,7,73,No,5,4,630
M,19,1,52,Yes,8,4,270
F,16,6,99,Yes,9,4,880
F,19,7,43,Yes,6,8,350
M,18,7,57,Yes,9,9,480
M,16,9,95,Yes,5,9,950
M,16,5,62,Yes,6,2,480
M,16,1,72,Yes,8,1,450
F,16,2,73,Yes,7,9,490
M,18,4,73,No,7,1,570
M,19,5,75,No,9,7,610
M,14,9,74,Yes,8,4,750
F,16,1,56,Yes,6,4,260
F,14,3,67,Yes,9,5,470
M,18,5,53,No,5,8,370
F,14,3,73,Yes,9,6,550
M,19,4,87,Yes,8,4,730
F,17,3,50,No,8,4,300
M,14,4,96,No,7,9,800
M,18,1,52,No,5,8,240
F,18,8,72,Yes,7,8,660
F,15,4,96,No,6,1,770
F,17,7,94,Yes,6,6,860
F,19,2,41,No,4,9,130
M,14,2,73,Yes,8,0,520
M,17,6,92,Yes,5,3,800
F,19,2,68,Yes,5,1,440
M,16,6,76,No,7,9,680
F,15,2,43,Yes,9,8,230
F,15,4,51,Yes,9,5,360
M,16,7,65,Yes,7,3,580
M,18,8,97,No,9,2,910
M,18,3,67,Yes,5,3,480
M,18,9,42,Yes,7,1,400
M,14,2,59,Yes,9,4,330
F,19,8,49,Yes,4,8,460
F,15,8,91,No,8,5,870
M,18,4,57,Yes,4,1,390
M,17,1,92,No,9,5,700
F,19,1,92,No,6,8,670
M,14,2,92,Yes,5,3,680
F,17,9,66,No,4,0,610
F,17,2,70,No,4,1,510
F,19,2,66,No,7,4,430
F,18,6,81,Yes,7,9,700
M,14,7,40,No,7,6,340
F,17,7,45,No,9,7,330
M,17,9,50,Yes,6,2,460
F,18,6,73,Yes,4,8,600
F,15,8,78,No,8,1,730
M,19,6,59,No,7,3,470
M,18,2,92,No,6,3,670
F,18,1,60,Yes,9,5,370
M,17,5,60,No,6,9,440
F,17,9,57,Yes,7,5,550
M,14,8,60,No,5,2,520
F,14,4,58,No,4,8,420
M,16,5,43,Yes,7,4,280
M,19,5,52,No,8,1,310
M,18,6,57,Yes,4,5,420
M,17,3,91,No,6,2,710
F,14,5,68,Yes,8,7,540
M,17,2,64,Yes,4,2,420
F,15,1,95,No,8,4,680
F,17,1,52,Yes,6,3,270
F,14,7,66,No,7,3,590
F,17,2,99,Yes,8,1,770
F,18,4,58,Yes,7,7,430
M,16,5,88,Yes,6,2,730
M,19,7,40,No,6,3,310
M,16,2,77,Yes,8,5,550
F,19,6,58,Yes,8,8,490
F,14,1,91,Yes,6,3,650
F,14,7,40,No,8,2,300
M,16,9,79,No,8,4,750
F,15,5,56,Yes,8,8,430
M,16,5,60,Yes,9,0,490
F,14,4,61,No,8,4,440
M,15,3,54,Yes,4,3,350
F,17,9,89,Yes,6,4,880
M,18,5,78,Yes,6,6,650
F,14,8,87,Yes,5,6,820
F,19,9,78,Yes,7,6,760
F,18,5,71,Yes,5,0,540
F,17,9,88,No,8,8,900
F,17,2,43,Yes,8,6,230
M,16,9,83,Yes,4,3,790
F,18,4,84,No,4,3,650
M,18,6,71,No,4,1,590
F,15,6,43,No,4,5,280
M,17,6,92,No,4,9,790
F,15,2,40,Yes,4,2,110
M,18,7,72,No,4,0,610
F,16,6,46,Yes,4,4,360
M,14,1,48,No,9,5,220
M,18,2,40,No,4,4,200
F,15,7,55,No,6,4,450
F,18,1,57,Yes,4,9,320
F,18,1,93,No,7,7,680
M,18,1,86,No,4,9,550
F,15,8,45,No,9,0,380
M,17,4,41,Yes,8,7,230
F,16,4,48,Yes,9,6,330
F,19,2,43,No,9,0,220
M,14,1,84,Yes,8,8,600
F,16,9,62,No,4,3,580
M,19,7,93,Yes,4,6,840
F,16,4,82,No,8,2,670
F,18,6,84,Yes,7,7,790
M,15,2,82,No,5,3,610
F,19,7,90,Yes,6,1,800
M,17,2,47,Yes,8,1,270
F,19,8,78,No,4,7,720
M,17,8,64,No,6,7,610
M,17,1,55,Yes,4,0,250
M,17,8,74,No,5,5,670
F,18,2,56,No,5,8,330
M,19,6,57,No,8,8,460
M,17,1,99,No,6,1,730
F,17,5,66,Yes,9,7,540
M,17,7,54,No,6,7,440
M,17,1,99,Yes,9,3,740
F,15,2,56,Yes,5,3,310
M,15,7,82,No,4,4,730
F,19,6,44,No,9,9,340
M,15,3,55,Yes,9,6,360
M,15,2,54,No,8,0,270
F,19,4,81,No,7,8,660
F,17,3,85,Yes,5,2,660
F,17,7,73,Yes,9,3,640
F,14,8,87,Yes,5,6,820
F,18,2,58,No,8,4,340
F,19,7,47,No,4,4,380
M,14,8,86,Yes,6,0,790
F,18,6,49,Yes,5,1,350
M,19,6,44,No,8,4,330
F,14,1,91,No,8,1,650
F,17,4,87,No,8,0,690
M,16,1,92,Yes,6,9,660
M,16,4,65,No,5,2,450
M,19,2,61,No,9,0,370
M,15,5,83,Yes,8,9,710
M,15,9,62,No,6,7,590
F,17,3,52,Yes,4,7,320
F,19,8,48,No,7,7,400
M,16,3,88,Yes,5,6,730
M,15,6,59,Yes,6,6,480
F,15,4,67,Yes,7,1,520
F,19,8,83,No,7,8,790
M,16,6,96,No,6,6,850
F,16,8,76,No,9,4,720
F,17,1,63,No,9,3,390
M,18,6,83,Yes,6,7,720
M,19,1,72,No,6,4,510
M,19,1,59,No,8,5,360
M,14,8,99,Yes,4,3,890
M,17,7,87,Yes,9,1,820
F,19,3,69,Yes,8,6,510
M,17,6,83,Yes,7,1,750
M,18,9,48,No,7,6,440
F,17,7,84,Yes,7,6,720
M,18,3,88,No,6,0,660
M,16,6,56,No,5,9,410
F,18,4,75,Yes,8,9,590
M,14,3,53,Yes,5,2,310
M,15,9,58,Yes,4,2,540
M,19,2,46,Yes,4,5,230
F,16,1,98,Yes,8,2,750
F,14,2,42,No,7,8,210
F,16,7,72,Yes,9,4,690
F,19,1,83,No,4,5,560
M,17,6,71,Yes,5,5,600
M,18,7,86,No,5,7,790
M,19,9,50,No,9,9,470
M,18,8,81,No,6,2,720
F,19,6,41,Yes,7,8,310
F,16,3,65,Yes,6,6,450
M,19,8,43,Yes,8,5,400
M,15,7,56,No,4,0,460
F,15,3,56,No,9,3,380
F,18,9,67,Yes,9,4,640
F,19,2,69,Yes,9,1,460
M,16,3,79,No,6,0,580
F,18,2,62,No,6,1,370
F,18,1,85,Yes,8,7,620
F,14,4,63,Yes,5,9,490
F,18,5,68,Yes,5,5,530
F,17,6,43,No,8,9,300
M,15,5,77,No,9,1,590
M,15,1,68,Yes,5,8,400
M,18,3,58,Yes,8,7,370
M,16,1,66,Yes,5,3,410
F,18,5,68,Yes,8,9,560
F,15,5,95,Yes,5,6,810
M,17,6,75,No,9,2,660
F,15,8,74,Yes,6,5,710
F,18,1,91,No,6,2,640
M,16,4,45,No,9,9,310
F,16,1,98,No,5,2,720
F,15,9,62,No,9,8,570
F,14,7,78,No,8,5,670
F,19,7,85,No,6,7,760
F,16,5,83,No,4,3,680
M,19,7,87,No,5,3,780
M,17,2,91,Yes,4,7,680
M,15,4,47,Yes,4,6,250
M,18,7,94,Yes,7,4,860
F,19,3,41,Yes,4,1,150
M,19,2,52,Yes,4,5,280
F,14,2,79,No,9,0,580
F,14,1,96,No,7,6,720
F,18,5,60,No,7,8,450
M,19,6,70,No,7,4,590
M,18,6,91,No,8,4,780
F,15,9,87,Yes,7,6,840
M,19,4,75,Yes,9,4,560
M,19,1,87,No,8,9,620
F,18,6,91,Yes,5,3,780
M,19,5,77,Yes,8,0,620
F,15,6,66,Yes,5,5,540
F,18,3,75,Yes,7,8,570
F,17,2,87,Yes,7,3,610
M,17,6,62,No,5,9,490
F,14,1,94,Yes,6,3,710
M,19,7,60,Yes,9,4,550
F,18,7,52,No,8,5,440
M,15,7,76,No,9,2,680
F,16,1,86,No,9,8,600
F,19,4,65,No,4,0,450
M,17,7,79,No,7,5,720
F,16,9,46,No,8,5,410
F,18,5,85,No,9,7,730
F,19,2,78,No,8,4,570
F,16,7,61,Yes,9,8,550
M,18,1,78,No,7,8,530
M,16,7,62,No,9,1,530
M,14,6,97,Yes,5,4,870
M,17,7,69,No,7,6,610
M,17,3,57,No,8,1,380
F,19,3,81,No,6,6,600
F,18,7,57,No,9,8,490
M,17,2,85,Yes,5,7,640
M,14,1,49,Yes,7,9,230
F,17,9,78,No,4,8,720
F,17,9,69,Yes,7,3,710
M,18,7,65,Yes,8,7,590
M,18,7,46,Yes,8,8,380
M,17,3,46,Yes,4,9,240
M,14,2,44,Yes,5,1,180
F,14,7,40,Yes,8,9,330
F,16,9,85,No,5,2,810
F,17,1,57,No,5,0,300
M,18,4,52,Yes,7,0,320
M,15,6,64,Yes,5,9,500
M,16,7,79,Yes,9,5,730
M,16,7,47,No,8,0,380
F,17,2,49,No,8,4,280
M,14,4,71,No,6,5,570
M,17,5,56,No,5,8,410
M,14,1,77,No,6,5,520
M,17,1,54,No,7,3,260
M,15,3,54,Yes,6,0,280
M,19,3,96,No,5,5,740
F,16,8,87,No,8,6,810
M,19,9,79,No,7,4,810
F,15,1,90,Yes,5,5,610
M,16,2,59,No,7,9,380
F,14,2,54,Yes,4,7,290
F,17,4,74,Yes,5,0,570
F,19,2,45,No,4,7,210
M,19,7,69,No,6,1,570
M,18,9,96,No,5,1,940
M,15,7,47,Yes,4,7,390
M,14,6,70,No,9,1,590
M,16,1,87,Yes,8,7,640
F,17,9,86,Yes,6,4,830
M,17,5,71,No,5,8,530
M,14,5,84,No,5,8,700
M,15,6,97,No,8,7,920
M,15,9,91,Yes,8,8,920
M,19,8,54,No,4,6,470
F,16,8,57,Yes,4,7,510
F,19,8,52,No,4,5,450
F,14,1,63,Yes,7,8,340
F,15,1,79,No,6,1,500
F,18,8,53,No,5,2,450
F,18,5,67,Yes,6,1,540
F,17,9,50,Yes,8,5,520
F,18,2,45,No,9,2,200
F,15,9,95,Yes,6,0,930
M,16,8,64,Yes,6,3,530
F,17,9,40,Yes,4,4,350
M,19,4,64,Yes,8,3,480
F,19,1,41,No,6,5,180
F,17,1,71,Yes,5,2,430
M,19,5,52,No,4,9,360
M,16,2,72,No,6,5,510
F,14,8,71,No,8,9,650
F,17,5,95,Yes,9,0,810
F,15,5,63,No,5,5,450
F,14,2,66,No,9,7,460
M,17,7,43,No,8,9,320
F,19,8,63,No,8,7,600
M,18,1,62,No,8,0,330
F,15,2,68,Yes,9,6,450
F,18,4,73,No,7,9,540
F,16,5,60,Yes,5,9,460
F,19,2,69,No,8,3,490
M,19,1,65,No,7,5,380
F,15,9,59,Yes,4,5,530
M,16,1,55,Yes,7,4,300
F,17,4,42,No,4,9,240
M,14,2,88,No,9,8,690
M,16,4,76,No,7,9,570
F,14,8,97,No,9,7,940
F,17,8,79,No,8,5,770
M,16,9,83,Yes,7,3,790
M,17,5,64,No,7,3,500
F,16,7,62,No,8,8,520
M,19,3,83,Yes,4,3,640
F,17,4,98,Yes,8,6,860
F,15,9,40,No,5,5,330
F,18,1,72,Yes,7,1,470
M,14,2,54,Yes,5,4,310
F,19,5,56,Yes,8,2,420
F,19,3,73,No,9,8,540
M,14,2,56,No,8,9,330
F,16,1,91,No,6,0,610
F,17,3,97,Yes,5,9,780
M,15,1,80,No,6,3,550
F,15,1,83,No,5,3,590
M,14,1,43,Yes,9,8,200
F,14,8,52,No,6,0,430
M,17,3,43,Yes,6,1,190
